lineId,name,nameJa,operator,color,odptRailway,osmRouteName,statusFeed,jreastLineId
Toei-Asakusa,Asakusa Line,都営浅草線,Toei,#e85298,odpt.Railway:Toei.Asakusa,都営地下鉄浅草線,live,
Toei-Mita,Mita Line,都営三田線,Toei,#0079c2,odpt.Railway:Toei.Mita,都営地下鉄三田線,live,
Toei-Shinjuku,Shinjuku Line,都営新宿線,Toei,#6cbb5a,odpt.Railway:Toei.Shinjuku,都営地下鉄新宿線,live,
Toei-Oedo,Oedo Line,都営大江戸線,Toei,#b6007a,odpt.Railway:Toei.Oedo,都営地下鉄大江戸線,live,
Toei-Arakawa,Tokyo Sakura Tram,東京さくらトラム,Toei,#f08300,odpt.Railway:Toei.Arakawa,都電荒川線,live,
Toei-NipporiToneri,Nippori-Toneri Liner,日暮里・舎人ライナー,Toei,#cfba00,odpt.Railway:Toei.NipporiToneri,日暮里・舎人ライナー,live,
JR-Yamanote,Yamanote Line,山手線,JR-East,#9acd32,,山手線,none,yamanoteline
JR-Chuo-Rapid,Chuo Rapid Line,中央線快速,JR-East,#f15a22,,中央線快速,none,chuoline_rapidservice
JR-Chuo-Sobu,Chuo-Sobu Line,中央・総武線各駅停車,JR-East,#ffd400,,中央・総武線,none,chuo_sobuline_local
JR-Keihin-Tohoku,Keihin-Tohoku Line,京浜東北線,JR-East,#00b2e5,,京浜東北線,none,keihin-tohokuline
JR-Saikyo,Saikyo Line,埼京線,JR-East,#2cb431,,埼京線,none,saikyoline
Metro-Ginza,Ginza Line,銀座線,TokyoMetro,#ff9500,,東京メトロ銀座線,none,
Metro-Marunouchi,Marunouchi Line,丸ノ内線,TokyoMetro,#f62e36,,東京メトロ丸ノ内線,none,
Metro-Hibiya,Hibiya Line,日比谷線,TokyoMetro,#b5b5ac,,東京メトロ日比谷線,none,
Metro-Tozai,Tozai Line,東西線,TokyoMetro,#009bbf,,東京メトロ東西線,none,
Metro-Chiyoda,Chiyoda Line,千代田線,TokyoMetro,#00bb85,,東京メトロ千代田線,none,
Metro-Yurakucho,Yurakucho Line,有楽町線,TokyoMetro,#c1a470,,東京メトロ有楽町線,none,
Metro-Hanzomon,Hanzomon Line,半蔵門線,TokyoMetro,#8f76d6,,東京メトロ半蔵門線,none,
Metro-Namboku,Namboku Line,南北線,TokyoMetro,#00ac9b,,東京メトロ南北線,none,
Metro-Fukutoshin,Fukutoshin Line,副都心線,TokyoMetro,#9c5e31,,東京メトロ副都心線,none,
