ward,wardJa,lat,lon
Chiyoda,千代田区,35.6940,139.7536
Chuo,中央区,35.6706,139.7720
Minato,港区,35.6581,139.7516
Shinjuku,新宿区,35.6938,139.7036
Bunkyo,文京区,35.7081,139.7524
Taito,台東区,35.7126,139.7800
Sumida,墨田区,35.7107,139.8015
Koto,江東区,35.6728,139.8170
Shinagawa,品川区,35.6092,139.7302
Meguro,目黒区,35.6413,139.6982
Ota,大田区,35.5614,139.7161
Setagaya,世田谷区,35.6464,139.6533
Shibuya,渋谷区,35.6640,139.6982
Nakano,中野区,35.7074,139.6638
Suginami,杉並区,35.6995,139.6365
Toshima,豊島区,35.7261,139.7170
Kita,北区,35.7528,139.7336
Arakawa,荒川区,35.7361,139.7833
Itabashi,板橋区,35.7512,139.7093
Nerima,練馬区,35.7356,139.6517
Adachi,足立区,35.7750,139.8044
Katsushika,葛飾区,35.7434,139.8474
Edogawa,江戸川区,35.7067,139.8683
